"Anlagedatum";"STATUS";"expr3"
"2016-11-17";"2";"3"
"2016-11-16";"2";"12"
"2016-11-15";"0";"1"
"2016-11-15";"2";"36"
"2016-11-14";"2";"15"
"2016-11-13";"2";"15"
"2016-11-11";"2";"7"
"2016-11-10";"2";"2"
"2016-11-09";"2";"2"
"2016-11-08";"2";"11"
"2016-11-07";"2";"49"
"2016-11-04";"2";"13"
"2016-11-03";"2";"22"
"2016-11-01";"2";"2"
"2016-10-25";"2";"1"
"2016-10-22";"2";"2"
"2016-10-20";"0";"2"
"2016-10-20";"2";"2"
"2016-10-12";"2";"2"
"2016-10-11";"0";"1"
"2016-10-11";"2";"2"
"2016-10-09";"0";"15"
"2016-10-07";"0";"17"
"2016-10-06";"0";"92"
"2016-10-05";"0";"1193"
"2016-09-30";"2";"24"
"2016-09-27";"2";"1"
"2016-09-22";"2";"2"
"2016-09-20";"2";"6"
"2016-09-08";"0";"86"
"2016-09-03";"2";"1"
"2016-09-01";"0";"32"
"2016-08-31";"2";"1"
"2016-08-30";"2";"17"
"2016-08-12";"0";"2"
"2016-08-01";"0";"1"
"2016-07-25";"0";"1"
"2016-07-01";"0";"9"
"2016-06-27";"0";"4"
"2016-06-22";"0";"1"
"2016-06-20";"0";"2"
"2016-05-30";"0";"41"
"2016-05-18";"0";"2"
"2016-05-17";"0";"1"
"2016-05-16";"0";"5"
"2016-05-11";"0";"1"
"2016-05-03";"0";"5"
"2016-04-28";"0";"1"
"2016-04-27";"0";"1"
"2016-04-24";"0";"1"
"2016-04-21";"0";"1"
